CVE_ID,Tag,iscore,,cvss
CVE-2023-46741,log forging,3,,4.8
CVE-2023-46742,log forging,3,,4.8
CVE-2023-46749,directory traversal,2,,6.5
CVE-2023-46906,directory traversal,2,,4.9
CVE-2023-46929,directory traversal,2,,7.5
CVE-2023-46942,directory traversal,2,,7.5
CVE-2023-46943,directory traversal,2,,9.1
CVE-2023-46953,directory traversal,2,,9.8
CVE-2023-47039,directory traversal,2,,7.8
CVE-2023-47140,directory traversal,2,,4
CVE-2023-47145,rce,5,,8.4
CVE-2023-47171,directory traversal,2,,6.5
CVE-2023-47211,directory traversal,2,,9.1
CVE-2023-47216,rce,5,,2.9
CVE-2023-47219,cookie injection,1,,3.5
CVE-2023-47458,directory traversal,2,,9.8
CVE-2023-47473,xss,7,,7.5
CVE-2023-47559,cookie injection,1,,5.5
CVE-2023-47560,cookie injection,1,,7.4
CVE-2023-47857,directory traversal,2,,4
CVE-2023-47858,directory traversal,2,,4.3
CVE-2023-47861,xss,7,,9
CVE-2023-47862,directory traversal,2,,9.8
CVE-2023-47890,directory traversal,2,,8.8
CVE-2023-47992,log forging,3,,8.8
CVE-2023-47993,log forging,3,,6.5
CVE-2023-47994,log forging,3,,8.8
CVE-2023-47995,log forging,3,,6.5
CVE-2023-47996,log forging,3,,6.5
CVE-2023-47997,log forging,3,,6.5
CVE-2023-4812,directory traversal,2,,7.6
CVE-2023-48166,directory traversal,2,,7.5
CVE-2023-4818,log forging,3,,7.6
CVE-2023-48242,directory traversal,2,,6.5
CVE-2023-48243,directory traversal,2,,8.1
CVE-2023-48244,cookie injection,1,,5.3
CVE-2023-48245,directory traversal,2,,6.5
CVE-2023-48246,directory traversal,2,,6.5
CVE-2023-48247,directory traversal,2,,5.3
CVE-2023-48248,xss,7,,5.5
CVE-2023-48249,cookie injection,1,,6.5
CVE-2023-48250,directory traversal,2,,8.1
CVE-2023-48251,directory traversal,2,,8.1
CVE-2023-48252,directory traversal,2,,8.8
CVE-2023-48253,directory traversal,2,,8.8
CVE-2023-48254,cookie injection,1,,5.3
CVE-2023-48255,log forging,3,,6.3
CVE-2023-48256,cookie injection,1,,5.3
CVE-2023-48257,directory traversal,2,,7.8
CVE-2023-48258,directory traversal,2,,5.5
CVE-2023-48259,directory traversal,2,,5.3
CVE-2023-48260,directory traversal,2,,5.3
CVE-2023-48261,directory traversal,2,,5.3
CVE-2023-48262,directory traversal,2,,8.1
CVE-2023-48263,directory traversal,2,,8.1
CVE-2023-48264,directory traversal,2,,8.1
CVE-2023-48265,directory traversal,2,,8.1
